topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
0.8153974321107694,-0.20449326443608043,0.4137718473019097,-0.016074055067549848,-0.08171716601273772,-0.28864182543829625,-0.09939301482201755,-0.12051691708739141,0.05650754682018013,0.06523661150527121
0.6034153196602661,-0.33405738723568545,0.4810400653405602,0.11172837962066796,-0.04783465686711371,-0.21226817981358045,0.22492138827612612,-0.393790477186422,-0.15749751020055155,0.05099870245357573
0.7433388974426931,-0.10954419041183629,0.49804075231498995,0.10740117769006931,-0.10597005868406603,-0.22914145822893814,0.01813275158505454,-0.24547774229335217,-0.2121885890392424,-0.08074758685720493
0.6153087504252194,-0.1710489990395267,0.6044821734217233,-0.11214531622223031,0.12558847576365345,-0.3527333847411539,-0.07610634660821902,-0.1554023004969137,-0.20952707443731128,-0.01118748277613418
0.5836338011155876,-0.3635933081853754,0.505523366880151,0.052532281881700275,-0.25183384340051385,0.03747984445162733,0.1847513339681214,-0.3606554550509543,0.12942206376093926,-0.1519127073865086
0.8011598734402253,0.3102962373989262,0.1417055859842511,-0.1469118900768427,0.25061438115268064,0.09530580246474504,-0.22432949173350442,0.27129968451401654,0.04570371468962557,0.14929397998909041
0.3917421483642424,0.6184405648103765,-0.6306157845035157,0.04924491986514042,0.08258607353034787,-0.12224237647431886,-0.09592712636969876,-0.06958568215207983,-0.018899113273886766,-0.16674235164041235
0.7095512708097803,-0.2248318277401863,0.583839683524089,-0.10513303361130114,-0.04623998513200254,-0.2639217954991627,0.05186564023686462,-0.11584468920205312,-0.06441724808091633,-0.04487141233660022
0.5564079748286281,0.5001416183155387,-0.5073286388094143,0.10158271801858836,-0.059958928042484816,0.2852498513585929,-0.1297098946281899,0.18526784694360382,-0.18292597427787333,0.05471595860783871
0.7357704209108141,0.40261054735097773,-0.12479949085411564,0.17400437145777392,0.13443957183989635,0.21604737562480447,-0.28886495476807744,0.07043596025634047,-0.3119481947534791,0.015095392654629825
0.6621215745743692,-0.13867453215581044,0.6246964398526204,-0.06242587970356819,0.12890256686378562,-0.34154759515600974,-0.025673420109804473,-0.1187178533794749,-0.002248562734673773,-0.013893215853776385
0.6846517804291153,-0.1330500706786562,0.6345751797440651,-0.007593563797972354,0.08271430467584899,-0.2179803738133427,0.016850561278310743,-0.17109323474006036,0.08352682730198616,-0.14112274960161356
